,Unnamed: 0,0,1,it,client
0,i0_c0,1.0,0.4107,0,c0
1,i0_c1,1.0,0.4167,0,c1
2,i0_c2,1.0,0.4103,0,c2
3,i0_c3,1.0,0.4152,0,c3
4,i0_g,0.9003,0.5569,0,g
5,i1_c0,1.0,0.4112,1,c0
6,i1_c1,1.0,0.4142,1,c1
7,i1_c2,1.0,0.4139,1,c2
8,i1_c3,1.0,0.4146,1,c3
9,i1_g,0.9038,0.56,1,g
10,i2_c0,1.0,0.4119,2,c0
11,i2_c1,1.0,0.4173,2,c1
12,i2_c2,1.0,0.4101,2,c2
13,i2_c3,1.0,0.4105,2,c3
14,i2_g,0.8994,0.5568,2,g
15,i3_c0,1.0,0.4115,3,c0
16,i3_c1,1.0,0.4176,3,c1
17,i3_c2,1.0,0.4137,3,c2
18,i3_c3,1.0,0.4151,3,c3
19,i3_g,0.901,0.5575,3,g
20,i4_c0,1.0,0.4096,4,c0
21,i4_c1,1.0,0.4135,4,c1
22,i4_c2,1.0,0.4126,4,c2
23,i4_c3,1.0,0.4152,4,c3
24,i4_g,0.9021,0.5594,4,g
